entity,category,modelname,correct,wrong,undefinied,documents
persons,random,instructBlip_answers,0.89,0.1,0.01,122
persons,gender-sensitive,instructBlip_answers,0.88,0.09,0.03,122
persons,country-sensitive,instructBlip_answers,0.82,0.16,0.02,122
persons,country-gender-sensitive,instructBlip_answers,0.86,0.1,0.04,122
locations,random,instructBlip_answers,0.96,0.04,0.0,67
locations,country-continent,instructBlip_answers,0.96,0.04,0.0,67
locations,region-country,instructBlip_answers,0.88,0.09,0.03,67
locations,city-region,instructBlip_answers,0.91,0.06,0.03,67
events,random,instructBlip_answers,0.96,0.04,0.0,25
events,same_instance,instructBlip_answers,0.88,0.12,0.0,25
